name,skipass,rank(5),altmin(m),altmax(m),totalpistes(km),bluepistes(km),redpistes(km),blackpistes(km),lifts,lift_Aerial_tramway/reversible_ropeway,lift_Circulating_ropeway/gondola_lift,lift_Combined_installation_(gondola_and_chair),lift_Chairlift,lift_T-bar_lift/platter/button_lift_,lift_Rope_tow/beginner_lift,lift_Sunkid_Moving_Carpet,lift_Funicular,lift_People_mover,lift_Cog_railway,lift_Snow_caterpillars_for_Cat-skiing,season_open,season_close,lattitude,longitude
SkiWelt Wilder Kaiser-Brixental,,4.7,620,1957,284,122,129,33,90,,16,,35,18,21,15,,,,,2017-12-08,2018-04-08,47.4968179,12.1981654
St. Anton/St. Christoph/Stuben/Lech/Zürs/Warth/Schröcken – Ski Arlberg,Ski Arlberg,4.7,1270,2811,304,130,123,51,88,5,9,1,45,23,5,25,,,,,2017-12-01,2018-04-22,47.1574749,10.2130903
Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),Skicircus,4.6,830,2096,270,140,112,18,71,,28,,22,18,3,,,,,,2017-12-01,2018-04-08,47.3891062,12.6408585
Zillertal Arena – Zell am Ziller/Gerlos/Königsleiten/Hochkrimml,Zillertal Superski,4.6,580,2500,143,43,89,11,52,1,12,,21,14,4,4,,,,,2017-12-02,2018-04-15,47.2372724,11.8998671
Kitzbühel/Kirchberg – KitzSki,,4.8,800,2000,179,101,61,17,46,1,10,,28,7,,8,,,,,2017-10-14,2018-05-01,47.442905,12.389977
Ski Jewel Alpbachtal Wildschönau,,4.1,830,2025,93.1,25.9,53.7,13.5,45,,8,,7,23,7,2,,,,,2017-12-08,2018-04-08,47.3779345,11.957159
Schladming – Planai/Hochwurzen/Hauser Kaibling/Reiteralm (4-Berge-Skischaukel),Ski Amade,4.6,745,2015,122.7,46.1,68.3,8.3,44,1,8,1,20,14,,2,,,,,2017-11-24,2018-04-15,47.3690192,13.7260404
Mayrhofen – Penken/Ahorn/Rastkogel/Eggalm,Zillertal Superski,4.6,630,2500,136,40,63,33,44,2,6,1,17,12,6,13,,,,,2017-12-02,2018-04-15,47.1633023,11.860612
Flachau/Wagrain/Alpendorf – Snow Space Salzburg,Ski Amade,4.5,740,1980,115,30,81,4,43,2,9,,16,7,9,6,,,,,2017-12-02,2018-04-08,47.346112,13.3919349
Ischgl/Samnaun – Silvretta Arena,,4.7,1377,2872,238,47,142,49,41,3,4,,25,9,,4,,,,,2017-11-23,2018-05-01,47.0099295,10.2879654
Serfaus-Fiss-Ladis,,4.6,1200,2820,198,47,123,28,39,,11,,16,9,2,29,1,,,,2017-12-07,2018-04-15,47.0388615,10.6075789
Silvretta Montafon,,4.5,700,2430,113,60,45,8,37,2,8,,18,8,1,16,,,,,2017-12-01,2018-04-08,47.0220074,9.964784
Kaltenbach – Hochzillertal/Hochfügen (SKi-optimal),Zillertal Superski,4.7,600,2378,83,28.7,41.3,13,36,,5,,12,12,7,,,3,,,2017-12-02,2018-04-15,47.2891808,11.8729296
Hochkönig – Maria Alm/Dienten/Mühlbach,Ski Amade,4.4,800,1900,112,52,41,19,33,,4,1,9,17,2,3,,,,,2017-12-02,2018-04-08,47.4397392,12.8178662
Sölden,,4.7,1350,3340,144.2,70.2,44.6,29.4,31,,7,,15,8,,3,1,,,,2017-09-09,2018-05-01,46.9654937,11.0076232
Nassfeld – Hermagor,,4.1,600,2002,110,30,69,11,30,,5,,9,10,6,,,,,,2017-12-07,2018-04-08,46.6266671,13.3716344
Obertauern,,4.2,1630,2313,100,61,35,4,26,,1,1,18,6,,5,,,,,2017-11-22,2018-05-01,47.2517317,13.5471809
Schmittenhöhe – Zell am See,,4.3,760,2000,77,30,28,19,25,2,6,,10,4,3,2,,,,,2017-12-01,2018-04-08,47.2999602,12.7884856
Bad Kleinkirchheim/St. Oswald,,3.8,1087,2055,103,18,77,8,24,,4,,7,10,3,4,,,,,2017-12-07,2018-04-02,46.8134071,13.7989223
Dachstein West – Gosau/Russbach/Annaberg,,4,780,1620,51,15,33,3,23,,3,,8,12,,13,,,,,2017-12-02,2018-04-02,47.5385262,13.4771393
Stubai Glacier (Stubaier Gletscher),,4.1,1697,3212,38,19,15,4,22,,5,,7,8,2,4,,,,,2017-09-16,2018-06-03,47.0106291,11.1550482
Obergurgl-Hochgurgl,,4.3,1793,3082,110,35,55,20,22,,8,,7,6,1,6,,,,,2017-11-16,2018-04-22,46.8702519,11.0269261
Hintertux Glacier (Hintertuxer Gletscher),Zillertal Superski,4,1500,3250,60,14,35,11,20,,6,,6,7,1,2,,,,,,,47.0613072,11.6675254
Bad Gastein/Bad Hofgastein – Schlossalm/Angertal/Stubnerkogel,Ski Amade,4.2,860,2300,86,30.6,52.8,2.6,20,1,5,,9,3,1,6,1,,,,2017-12-02,2018-04-08,47.1326274,13.0818477
Wildkogel – Neukirchen/Bramberg,,4.1,820,2150,64,29,25,10,19,,5,,4,5,5,5,,,,,2017-12-08,2018-04-08,47.254337,12.280783
Damüls Mellau,,4.2,690,2050,79.4,29.7,48,1.7,19,,2,,13,2,2,6,,,,,2017-12-02,2018-04-08,47.3014149,9.8890125
Kitzsteinhorn – Kaprun,,4.1,,1978,41,13,25,3,17,1,4,1,5,5,,,1,,,,2017-09-30,2018-07-22,47.1833333,12.6833333
St. Johann in Tirol/Oberndorf – Harschbichl,,3.9,659,1604,43,16,24,3,17,,4,,5,4,4,3,,,,,2017-12-08,2018-04-01,47.5168217,12.4268365
Großarltal/Dorfgastein,Ski Amade,4.1,850,2033,70.1,25.5,43.1,1.5,17,,5,,8,3,1,3,,,,,2017-12-01,2018-04-08,47.2447869,13.1099846
Tauplitz – Bad Mitterndorf,,4,,896,43,18,19,6,16,,1,,4,9,2,3,,,,,2017-12-02,2018-04-08,47.5611157,14.0118664
Katschberg,,4.1,1066,2220,70,10,50,10,16,,2,,6,8,,1,,,,,2017-12-02,2018-04-08,47.0591777,13.6155855
Gerlitzen,,3.7,,1000,41.6,10.5,27.8,3.3,15,,1,,7,5,2,3,,,,,2017-12-01,2018-04-03,46.6941667,13.9166667
Zauchensee/Flachauwinkl,Ski Amade,4.1,1000,2176,44,23.5,16.2,4.3,15,,3,,6,5,,1,1,,,,2017-12-02,2018-04-15,47.2908432,13.4577243
Hinterstoder – Höss,,3.9,600,2000,40,12,18,10,14,,2,,2,7,3,5,,,,,2017-12-01,2018-04-08,47.699155,14.1566449
Turracher Höhe,,4.1,1400,2205,42,14,24.5,3.5,14,,,1,5,7,1,4,,,,,2017-12-02,2018-05-01,46.914444,13.875
Walmendingerhorn/Heuberg – Mittelberg/Hirschegg,,3.4,1070,1946,20.7,7.6,12.6,0.5,14,1,,1,4,7,1,2,,,,,2017-12-22,2018-04-08,47.326717,10.128402
Brandnertal – Brand/Bürserberg,,3.8,904,2000,55,22,30,3,14,1,2,,6,5,,1,,,,,2017-12-01,2018-04-02,47.1166667,9.75
Fellhorn/Kanzelwand – Oberstdorf/Riezlern,,3.9,920,1967,34,13,19,2,14,2,2,,6,3,1,3,,,,,2017-12-09,2018-04-08,47.3523003,10.2627678
Großglockner Resort Kals-Matrei,,4.1,933,2422,37,8.5,22.5,6,13,,3,,5,5,,4,,,,,2017-12-02,2018-04-08,47.010059,12.623672
Kreischberg,,3.9,868,2118,42,17,16,9,13,,3,,4,4,2,1,,,,,2017-12-02,2018-04-02,47.099277,14.0853201
Steinplatte/Winklmoosalm – Waidring/Reit im Winkl,,4,740,1860,42,18,22,2,13,,2,,9,2,,1,,,,,2017-11-25,2018-04-08,47.6,12.5833332
Bödele – Schwarzenberg,,,700,1467,18.5,10.2,7.2,1.1,12,,,,1,10,1,,,,,,2017-12-02,2018-04-02,47.420748,9.8082435
Ramsau am Dachstein – Rittisberg,,3.3,1035,1636,25,14,10,1,12,,,,1,8,3,1,,2,,,2017-12-08,2018-04-02,47.422485,13.623573
Berwang/Bichlbach/Rinnen,,3.7,1067,1743,36,24.5,10,1.5,12,,,1,3,7,1,3,,,,,2017-12-16,2018-04-08,47.421407,10.793165
Markbachjoch/Lanerköpfl – Niederau,,,828,1621,24,6,12,6,12,,1,,1,7,3,,,,,,,,,
Grossglockner Heiligenblut,,3.6,1301,2989,55,20,34,1,12,1,3,,1,6,1,1,,,,,2017-12-08,2018-04-08,47.0741851,12.6946761
Nauders am Reschenpass – Bergkastel,,3.9,1400,2850,71,24,34,13,12,,1,,5,6,,5,,,,,2017-12-15,2018-04-08,46.8888227,10.5002019
Hochoetz – Oetz,,3.7,,1410,36,12,21,3,12,,2,,6,4,,3,,,,,2017-12-15,2018-04-14,47.199995,10.903166
Christlum – Achenkirch,,3.4,950,1800,27,6,16,5,11,,,,4,4,3,2,,,,,2017-12-09,2018-04-08,47.513096,11.697299
Hochkössen (Unterberghorn) – Kössen,,3.1,619,1690,22,10,9,3,11,,1,,3,4,3,,,,,,2017-12-09,2018-04-02,47.62056,12.43611
Kühtai,,3.9,1938,2520,41,6,26.2,8.8,11,,1,,5,4,1,1,,,,,2017-11-24,2018-04-15,47.212976,11.0025622
Rosshütte – Seefeld,,3.6,1230,2064,18.3,11.4,5.9,1,11,2,,,3,3,2,3,1,,,,2017-12-02,2018-04-02,47.3344996,11.1962629
Kasberg – Grünau im Almtal,,,620,1600,21,11,9,1,10,,2,,1,7,,3,,,,,2017-12-01,2018-04-02,47.8302409,13.9890375
Galtür – Silvapark,,4,1600,2300,43,6,25,12,10,,2,,2,5,1,3,,,,,2017-12-08,2018-04-15,46.9682751,10.1869791
Grosseck/Speiereck – Mauterndorf/St. Michael,,3.7,1095,2400,50,26,17,7,10,,2,,4,4,,2,,,,,2017-12-08,2018-04-08,47.1418734,13.6622247
Rauriser Hochalmbahnen – Rauris,,3.7,940,2175,32.5,15,12.5,5,10,,3,,1,4,2,,,,,,2017-12-15,2018-04-08,47.223734,12.991193
Zugspitze,,3,,2000,20,7,13,0,10,3,,,2,4,,,,,1,,2017-11-17,2018-05-01,47.421066,10.9853652
Axamer Lizum,,3.7,1580,2340,30,7,21,2,10,,,,6,3,,,1,,,,2017-12-02,2018-04-08,47.19569,11.30265
Lofer – Loferer Alm (Almenwelt Lofer),,3.7,640,1670,46,32,12,2,10,,2,,3,3,2,1,,,,,2017-12-02,2018-04-06,47.5881901,12.691229
Lachtal,,3.7,1600,2222,25,7,16,2,9,,,,2,6,1,1,,,,,2017-12-02,2018-04-02,47.1894654,14.346014
Gaissau-Hintersee,,,750,1567,34,23.5,10,0.5,9,,,,3,5,1,,,,,,2017-12-16,2018-04-02,47.7027241,13.216392
Stuhleck – Spital am Semmering,,,777,1774,24,18,6,0,9,,,,4,5,,1,,,,,2017-11-25,2018-04-02,47.5666667,15.7833333
Werfenweng,,3.5,902,1834,27,11,15,1,9,,2,,2,5,,2,,,,,2017-12-02,2018-04-08,47.4615959,13.2568035
Goldeck – Spittal an der Drau,,,550,2142,25,8,9.5,7.5,9,1,1,,2,4,1,1,,1,,,2017-12-15,2018-04-02,46.790632,13.4850261
Hochzeiger – Jerzens,,4,1450,2450,40,10,22,8,9,,1,,4,4,,7,,,,,2017-12-01,2018-04-14,47.15,10.8
Schlick 2000 – Fulpmes,,3.6,1000,2240,22,12,6.8,3.2,9,,2,,3,4,,4,,,,,2017-12-02,2018-04-08,47.155613,11.343633
Loser – Altaussee,,3.7,850,1770,33,18,12,3,9,,,,4,3,2,1,,,,,2017-12-02,2018-04-02,47.65,13.7666667
Sonnenkopf – Klösterle,,3.5,1000,2300,29.5,12.8,15.9,0.8,9,,1,,4,3,1,,,2,,,2017-12-08,2018-04-15,47.1286493,10.0559643
Moelltal Glacier (Mölltaler Gletscher),,3.7,,2108,17.4,5.2,7.2,5,9,,1,,5,2,,,1,,,,2017-06-15,2018-05-13,47.0273308,13.0088571
Golm,,3.7,650,2110,26.5,13,12,1.5,9,,3,,4,1,1,2,,,,,2017-12-08,2018-04-08,52.4038381,12.9573975
Flachauwinkl/Kleinarl (Shuttleberg),Ski Amade,3.7,1000,1980,28,19,7,2,9,,,,7,,2,2,,,,,2017-12-08,2018-04-08,47.296703,13.392355
Simonhöhe – St. Urban,,,990,1340,13,8.5,4,0.5,8,,,,,7,1,1,,,,,2017-12-08,2018-03-18,46.7760328,14.1662211
Forsteralm – Waidhofen an der Ybbs,,,720,1078,16,10,4,2,8,,,,1,6,1,,,,,,2017-12-08,2018-03-25,47.899855,14.755866
Gschwandtkopf – Seefeld,,3.2,1200,1500,5,5,0,0,8,,,,1,6,1,2,,,,,2017-12-08,2018-04-02,47.3246803,11.1789089
Filzmoos,Ski Amade,,1057,1645,13,6,6,1,8,,1,,2,5,,,,3,,,2017-12-08,2018-04-08,47.4347177,13.5218317
Kaunertal Glacier (Kaunertaler Gletscher),,3.7,2180,3108,20.8,13,5.1,2.7,8,,1,,2,5,,1,,,,,2017-09-22,2018-05-21,47.0297558,10.7472147
Buchensteinwand (Pillersee) – St. Ulrich am Pillersee/St. Jakob in Haus/Hochfilzen,,3.3,855,1456,19.5,9.3,7.7,2.5,8,,,,2,4,2,3,,,,,2017-12-08,2018-04-02,47.5010383,12.5715995
Diedamskopf – Schoppernau,,3.7,820,2060,40,13,18,9,8,,2,,2,4,,4,,,,,2017-12-16,2018-04-02,47.317275,10.008271
Feuerkogel – Ebensee,,3.3,443,1625,10,4,5,1,8,1,1,,1,4,1,1,,,,,2017-12-16,2018-04-02,47.81457,13.7210627
Gargellen,,3.7,1423,2300,28.1,20.8,5.3,2,8,,1,,3,4,,1,,,,,2017-12-08,2018-04-15,46.9726367,9.9196445
Weißsee – Uttendorf,,,1482,2600,23,6,15,2,8,,2,,2,4,,,,1,,,2017-12-08,2018-04-22,47.1317278,12.6201306
Ötscher – Lackenhof (Gaming),,,812,1426,19,7,8,4,8,,,,3,3,2,1,,,,,2017-12-02,2018-03-18,47.8696028,15.1504629
Radstadt/Altenmarkt,Ski Amade,4,858,1571,17,9.2,7.2,0.6,8,,3,,2,3,,2,,,,,2017-12-16,2018-04-02,47.3722905,13.4665716
Hochkar – Göstling,,,1380,1808,19,5.5,10,3.5,8,,,,6,2,,2,,,,,2017-12-02,2018-04-08,47.718465,14.918329
Spieljoch – Fügen,,3.6,630,2037,21.1,3.6,14.8,2.7,8,,3,,2,2,1,3,,,,,2017-12-22,2018-04-08,47.3383662,11.8429566
Kitzbüheler Horn,,,800,2000,17,6,9,2,8,1,2,,4,1,,1,,,,,,,47.4666667,12.4166667
Lermoos – Grubigstein,,4,1004,2100,27.3,12.8,12.6,1.9,8,,3,,4,1,,5,,,,,2017-12-08,2018-04-08,47.3915983,10.8678638
Arnoldstein – Dreiländereck,,,680,1600,17,5.7,7.6,3.7,8,,,,,,,,,,,,,,46.541506,13.714389
Innerkrems – Kremsbrücke (Krems in Kärnten),,,1550,2200,36,7,27,2,8,,,,,,,,,,,,,,46.96858,13.726
Alberschwende – Brüggelekopf/Dresslerberg/Tannerberg,,,720,1200,18,5,13,0,7,,,,1,6,,,,,,,2017-12-16,2018-04-02,47.4505375,9.838051
Alpl – Krieglach,,,1000,1280,8,2,5,1,7,,,,,6,1,,,,,,,,47.50287,15.63949
Weinebene – Frantschach-Sankt Gertraud,,,1580,1886,18,7,9,2,7,,,,,6,1,1,,,,,2017-12-08,2018-03-25,46.8689895,14.9328413
Fageralm – Forstau,Ski Amade,,930,1885,15,7,8,0,7,,,,2,5,,,,1,,,2017-12-22,2018-04-08,47.377708,13.546078
Fendels,,,,1325,10.6,6.1,3.5,1,7,,1,,1,5,,,,,,,2017-12-16,2018-04-08,47.0541303,10.6767009
Grebenzen – St. Lambrecht,,2.9,1010,1870,12.2,2.9,9,0.3,7,,,,1,5,1,,,,,,2017-12-02,2018-04-02,47.072714,14.310545
Hochrindl – Sirnitz,,,1540,1886,20.6,5.4,11.4,3.8,7,,,,1,5,1,1,,,,,2017-12-08,2018-03-11,46.8638473,13.9992432
Salzstiegl – Hirschegg,,,1320,1710,12,6,4,2,7,,,,,5,2,,,,,,2017-12-08,2018-04-02,47.063343,14.878541
Jungholz,,3.3,1058,1500,10,7,3,0,7,,,,2,4,1,3,,,,,2017-11-18,2018-04-02,47.5738729,10.4470548
Karwendel Bergbahn (Zwölferkopf) – Pertisau,,2.9,960,1510,12,6,6,0,7,,1,,,4,2,1,,,,,2017-12-20,2018-04-02,47.4371921,11.6968594
Niedere – Andelsbuch/Bezau,,,655,1715,10,5,4,1,7,1,,,2,4,,1,,,,,2017-12-22,2018-03-11,47.4014529,9.935983
Zahmer Kaiser – Walchsee,,3.1,660,1200,13,11,2,0,7,,,,1,4,2,3,,,,,2017-12-08,2018-04-02,47.637728,12.287768
Glungezer – Tulfes,,3.2,950,2304,23,7,15.5,0.5,7,,,,2,3,2,1,,,,,2017-12-16,2018-04-03,47.2,11.5333333
Krippenstein – Obertraun,,,609,2109,12,5,7,0,7,3,,,1,3,,,,1,,,2017-12-08,2018-04-02,47.5264696,13.6892327
See,,3.7,1040,2456,41,8,25,8,7,,2,,2,3,,,,2,,,2017-12-15,2018-04-06,40.028521,-75.1749671
St. Jakob im Defereggental – Brunnalm,,3.8,1400,2525,17,4.7,11.1,1.2,7,,1,,2,3,1,2,,,,,2017-12-08,2018-04-08,46.9160069,12.3278347
Venet – Landeck/Zams/Fliess,,3.5,780,2212,22,6,15,1,7,1,,,3,3,,1,,,,,2017-12-15,2018-04-02,47.1456943,10.6259467
Walmendingerhorn – Mittelberg,,3.3,1200,1946,8.4,1,7.4,0,7,1,,,3,3,,1,,,,,,,47.326717,10.128402
Wurzeralm – Spital am Pyhrn,,3.4,810,1870,22,10,10,2,7,,,,2,3,1,1,1,,,,2017-12-08,2018-04-02,47.6491316,14.2937506
Zettersfeld – Lienz,,,,1660,21,7.9,11.5,1.6,7,,1,,3,3,,,,,,,2017-12-08,2018-04-02,46.841748,12.775955
Ehrwalder Alm – Ehrwald,,3.8,1112,1923,27.5,18.1,7.4,2,7,,1,,3,2,1,1,,,,,2017-12-16,2018-04-08,47.3836855,10.9731228
Sillian – Thurntaler (Hochpustertal),,3.8,1100,2407,21.7,5.6,15,1.1,7,,2,,3,1,1,1,,,,,2017-12-08,2018-04-02,46.7506818,12.4332109
Königsberg – Hollenstein an der Ybbs,,,715,1078,14,7,5,2,6,,,,,5,1,,,,,,2017-12-08,2018-03-18,47.797222,14.858889
Schetteregg – Egg,,3,1070,1325,10,3,6,1,6,,,,1,5,,2,,,,,2017-12-01,2018-03-18,47.414614,9.98168
